transaction_date,total_canceled_ahead_days,total_bookings,total_booked_ahead_days,cancelation_rate,seven_day_rolling_avg
2020-10-16,-256,11674,67338,0.04351550454000343,0.04911799363612835
2020-10-17,331,13126,37152,0.04129209203108335,0.04944716201313169
2020-10-18,-422,9338,48420,0.04883272649389591,0.04923187088667486
2020-10-19,1170,7478,56818,0.05522867076758491,0.04969497854214679
2020-10-20,-757,7406,58745,0.06656764785309209,0.052167138857078216
2020-10-21,628,7624,59039,0.051154249737670514,0.05134197153236033
2020-10-22,314,8314,49835,0.06831849891748858,0.05246783614505627
2020-10-23,937,10132,57005,0.047670746150809316,0.052822517061453515
2020-10-24,-4019,11306,67375,0.040509464001415176,0.05244676199412998
2020-10-25,396,6972,41960,0.06669535283993115,0.05562216959523596
2020-10-26,-3333,5622,55566,0.14212024190679473,0.06728310902184831
2020-10-27,-11455,5495,52349,0.10518653321201092,0.07352784182740156
2020-10-28,-1063,6063,55387,0.08395183902358569,0.07570086572371326
2020-10-29,-295,6247,49849,0.08836241395870018,0.08035188625134197
2020-10-30,-166,7525,46258,0.05621262458471761,0.0788386519597456
2020-10-31,-552,7614,28028,0.08838980824796427,0.08392853472188996
2020-11-01,-28,4832,29352,0.04904801324503311,0.08499585337734221
2020-11-02,1510,4937,58439,0.05205590439538181,0.08316592232177354
2020-11-03,349,4645,62963,0.050807319698600646,0.07175180704574928
2020-11-04,1598,4360,41511,0.06880733944954129,0.06720440782544057
2020-11-05,1205,5370,43553,0.059962756052141526,0.06420577245401006
2020-11-06,460,6532,48099,0.05404164115125536,0.059915675853079456
2020-11-07,-526,6839,33505,0.07311010381634742,0.062027860757033176
2020-11-08,577,4715,38854,0.07804878048780488,0.060735232287013254
2020-11-09,-733,4019,48265,0.0721572530480219,0.06362388726238685
2020-11-10,-249,4295,44072,0.06658905704307334,0.06544053134334829
2020-11-11,-2228,5036,50319,0.05242255758538523,0.06564243607919637
2020-11-12,-1603,4799,53744,0.07334861429464472,0.06621009543483429
2020-11-13,-394,6221,63774,0.058029255746664524,0.06596840789664966
2020-11-14,-1031,6999,43500,0.04914987855407915,0.06535693757200264
2020-11-15,512,5175,37217,0.04077294685990338,0.06131479295244714
2020-11-16,1659,4579,62077,0.06879231273203756,0.060157734482976226
2020-11-17,-214,4936,49380,0.058549432739059964,0.05845675694435599
2020-11-18,6686,4661,58007,0.11134949581634843,0.06405181179101536
2020-11-19,1380,4656,39410,0.061855670103092786,0.06523095085572882
2020-11-20,969,5760,48555,0.07569444444444444,0.06552417962445378
2020-11-21,640,6650,34771,0.05278195488721805,0.06486826701702297
2020-11-22,240,5219,32840,0.03889634029507569,0.06358657473464754
2020-11-23,2327,5332,46041,0.06864216054013503,0.06707022644467649
2020-11-24,1435,5355,35301,0.058450046685340803,0.0657774431888394
2020-11-25,473,5157,36077,0.05972464611208067,0.06592434486046699
2020-11-26,183,3500,17599,0.05085714285714286,0.05836280074056629
2020-11-27,-582,7802,46210,0.0460138426044604,0.05638257230323724
2020-11-28,-5646,8617,59888,0.040153185563421144,0.05193991494310933
2020-11-29,-667,5716,43182,0.0370888733379986,0.0499782797494569
2020-11-30,-40,5195,67044,0.061212704523580366,0.052767825278019986
2020-12-01,1980,5035,61057,0.04945382323733863,0.050369283115170436
2020-12-02,1723,4508,53238,0.06233362910381544,0.05085473091747977
2020-12-03,-849,4927,59963,0.08727420336919017,0.054298425574618454
2020-12-04,460,5981,42610,0.07523825447249624,0.05734606452653762
2020-12-05,-2179,7404,49733,0.04659643435980551,0.057418888495955764
2020-12-06,746,5688,32359,0.030766526019690578,0.05624555605298944
2020-12-07,1383,5194,50034,0.061224489795918366,0.059262508110229414
2020-12-08,1044,4485,46351,0.07045707915273133,0.060418054938873283
2020-12-09,1383,5615,114487,0.04381121994657168,0.05971272952752742
2020-12-10,1130,5170,43397,0.053965183752417795,0.05866667385860271
2020-12-11,915,6430,68928,0.04758942457231726,0.053706076508993596
2020-12-12,242,7177,71175,0.029817472481538248,0.048028478760123845
2020-12-13,550,5603,37220,0.044618954131715155,0.04778129373161255
2020-12-14,1068,5107,46693,0.04699432151948306,0.04980976816908661
2020-12-15,704,4947,51447,0.04932282191227006,0.048322059683630576
2020-12-16,295,5041,50130,0.05514778813727435,0.04640839830669845
2020-12-17,104,5248,29702,0.0626905487804878,0.048768314410937964
2020-12-18,-1056,6243,59666,0.0482139996796412,0.04804941640184089
2020-12-19,688,7711,35123,0.05654260147840747,0.04916856351510217
2020-12-20,307,6496,31614,0.03602216748768473,0.049944150390870475
2020-12-21,-4961,6882,40518,0.04911362975879105,0.05050598484425496
2020-12-22,-8507,6950,45538,0.06100719424460432,0.052257593934895125
2020-12-23,-660,6265,52547,0.060814046288906624,0.05369399698197469
2020-12-24,-46,5047,42805,0.05646918961759461,0.053859172167014725
2020-12-25,-39,3078,22069,0.036387264457439894,0.05057126162663374
2020-12-26,638,6905,25666,0.05314989138305576,0.05118824808956056
2020-12-27,-1339,8339,35509,0.03717472118959108,0.04876726305345851
2020-12-28,-1418,8209,52937,0.05238153246436838,0.050812183675543965
2020-12-29,-821,8934,59459,0.05451085739870159,0.05148683713053278
2020-12-30,1773,7168,44609,0.06166294642857143,0.05156880615352867
2020-12-31,-485,7472,56088,0.0591541755888651,0.05136132231602348
2021-01-01,1055,7251,52006,0.05475106881809406,0.05114655721608591
2021-01-02,-510,7653,62130,0.047955050307069126,0.052592530447289565
2021-01-03,123,5051,48890,0.05068303306275985,0.052284173157252575
2021-01-04,723,4713,61220,0.05537873965626989,0.054559675465587425
2021-01-05,1018,4700,61893,0.044893617021276595,0.05362368603520096
2021-01-06,-645,4698,74410,0.0604512558535547,0.054366235842057596
2021-01-07,-742,4725,56579,0.0455026455026455,0.05234619822631685
2021-01-08,-17803,5883,60819,0.05354411014788373,0.05164494004619418
2021-01-09,37,6741,95322,0.04153686396677051,0.04999316443977874
2021-01-10,1550,5022,54405,0.0362405416168857,0.04852885085350581
2021-01-11,196,4698,70561,0.038952745849297574,0.047062564951823024
2021-01-12,2787,4492,75098,0.04719501335707925,0.0460395991644242
2021-01-13,1644,4677,71095,0.03870002138122728,0.04526539970941803
2021-01-14,911,5093,60052,0.04574906734733949,0.04342762614614113
2021-01-15,728,6750,82352,0.039407407407407405,0.04266572138423637
2021-01-16,957,7515,52131,0.037658017298735864,0.04067995977809288
2021-01-17,413,5914,63174,0.03246533648968549,0.03954601884345726
2021-01-18,218,5451,67088,0.04237754540451293,0.04031314431691066
2021-01-19,2342,4219,66484,0.05664849490400569,0.04252511294874917
2021-01-20,2093,4318,71972,0.050717924965261695,0.04296547689977198
2021-01-21,1396,5230,71054,0.03881453154875717,0.04297979067071322
2021-01-22,1809,5998,78174,0.04151383794598199,0.04245038699554353
2021-01-23,1495,6524,70567,0.04153893316983446,0.042716827715846915
2021-01-24,663,4733,74829,0.03380519754912318,0.042235225247145326
2021-01-25,194,4740,87304,0.04725738396624472,0.04408423118171523
2021-01-26,1336,4612,83828,0.04336513443191674,0.044207679810140704
2021-01-27,1784,4700,88492,0.04021276595744681,0.042153213691820846
